AIRLINE_ID,CARRIER,CARRIER_NAME
19031,MAC,Mackey International Inc.
19032,XY,Munz Northern Airlines Inc.
19033,COC,Cochise Airlines Inc.
19034,GSA,Golden Gate Airlines Inc.
19035,RZZ,Aeromech Inc.
19036,GLW,Golden West Airlines Co.
19037,PRN,Puerto Rico Intl Airlines
19038,STZ,Air America Inc.
19039,SWT,Swift Aire Lines Inc.
19040,TSF,American Central Airlines
19041,VEZ,Valdez Airlines
19042,WEB,Southeast Alaska Airlines
19043,AAR,Altair Airlines Inc.
19044,CHI,Chitina Air Service
19045,MRC,Marco Island Airways Inc.
19046,OHZ,Caribbean Air Services Inc.
19047,PRO,Sundance Airlines
19048,SAI,Seair Alaska Airlines Inc.
19049,SLZ,Southeast Airlines Inc.
19050,AAZ,Alaska Aeronautical Indust.
19051,IMP,Imperial Airlines Inc.
19052,TWA,Trans Western Airlines Utah
19053,WRT,Wright Airlines Inc.
19054,COL,Presidential Express
19055,MVA,Mississippi Valley Airlines
19056,CHL,Channel Flying Inc.
19057,JCZ,Rocky Mountain Airways Inc.
19058,MIS,Midstate Airlines Inc.
19059,STG,Sedalia Marshall Boonvl Stg
19060,CKI,Inlet Airlines
19061,CMD,Command Airways Inc.
19062,EMA,Emerald Airlines
19063,ORI,Orion Air Inc.
19064,RAN,Pan Am Express
19065,AJ,Air Micronesia Inc.
19066,SKI,Sunbird Inc.
19067,WWI,Wings West Airlines
19068,AND,Southcentral Air Inc.
19069,ACG,Air Cargo Express Inc.
19070,AAA,Associated Aviation Act.
19071,AAB,Antilles Air Boats Inc.
19072,AAE,AAA Airlines
19073,AAL,Argosy Air Lines Inc.
19074,ABH,Air Bahia
19075,ABI,Airbama Incorporated
19076,ABO,Aeronaves Boringuena Inc.
19077,ACA,Alaska Central Airways Inc.
19078,ACH,Island Airlines Hawaii Inc.
19079,ACI,AAA-Action Air Carrier Inc.
19080,ACO,Air Cargo Enterprises Inc.
19081,ACP,Air Chaparral Inc.
19082,ACS,Alamo Commuter Airlines
19083,ACT,Air Central Inc.
19084,ACK,Air Central Inc.
19085,AEC,Astec Air East Inc.
19086,AFA,American Flag Airlines Inc.
19087,AGA,Air Cargo America Inc.
19088,AIA,All Island Air
19089,AIE,Air Express Inc.
19090,AIM,Air Mont. Inc.
19091,AIN,Air Indiana
19092,ALE,Air-Lift Associates Inc.
19093,ALI,Brandt Air
19094,ALL,All Seasons Air Pacific
19095,AMA,North American Airlines Inc.
19096,AMI,American Inter-Island Inc.
19097,ANB,Air Nebraska Inc.
19098,ANM,Airways Of New Mexico Inc.
19099,ANO,Metro Air Northeast Vermont
19100,ANT,Air North/Nenana
19101,AOI,Trans New York
19102,API,Arizona Pacific Inc.
19103,APL,Appalachian Flying Service
19104,APY,Air Polynesia Inc.
19105,ARI,Arizona Aero Corp.
19106,ARN,Arnold Aviation
19107,ARO,Air Oregon
19108,ARR,Arrowhead Airways Inc.
19109,ASD,Amistad Airlines
19110,ASI,Alpine Air Services Inc.
19111,ASP,Asap Air Inc.
19112,AST,Astro Airways
19113,ATN,Air Atlantic Airlines Inc.
19114,ATO,Pacific National Airways
19115,ATS,Atlantis Airlines Inc.
19116,ATT,Aerotransit Inc.
19117,ATX,Air Carolina
19118,AVA,Air Vectors Airways
19119,AVI,Aero Virgin Islands Corp.
19120,AVS,Aviation Services
19121,AVZ,Southern Jersey Airways
19122,BAC,Business Aircraft Corp.
19123,BAH,Brennan & Hargreaves Inc.
19124,BAK,Bankair Inc.
19125,BAR,Bard-Air Corp.
19126,BCA,Baja Cortez Airlines
19127,BEN,Bennington Aviation Inc.
19128,BEY,Beyer Aviation
19129,BHK,Blackhawk Airways Inc.
19130,BHO,Bighorn Airways Inc.
19131,BIR,Birchwood Air Service
19132,BMT,Bremerton Aviation Inc.
19133,BOA,Boise Air Service
19134,BRO,Brower Airways Inc.
19135,BUR,Burlington Airways Inc.
19136,CAC,Coleman Air Transport
19137,CAI,Crawford Aviation Inc.
19138,CAM,C & M Airlines
19139,CAP,Metro Air Northeast N Y
19140,CAT,Catalina Airlines Inc.
19141,CAV,Air Virginia
19142,CBA,Carriba Air Inc.
19143,CEN,Cen-Tex Airlines Inc.
19144,CET,Century Airlines (Cal)
19145,CHD,Chandler Flyer
19146,CHE,Charter Airlines
19147,CHF,Hammonds Commuter Air Serv.
19148,CHO,Choi Aviation Inc.
19149,CHS,Christman Air System
19150,CIS,Cal Sierra Airlines
19151,CNN,Centennial Airlines
19152,COB,Cotton Belt Aviation Inc.
19153,COK,Coker Aviation Inc.
19154,COM,Commutair
19155,COR,Coral Air Inc.
19156,COS,Cosmopolitan Comm. Airline
19157,COT,Southeastern Commuter
19158,COU,Courtesy Air Service Inc.
19159,CPA,Capitol Air Lines
19160,CPC,Coastal Plains Commuter Inc.
19161,CRA,Commuter Airlines
19162,CRN,Crown Aviaiton Inc.
19163,CRO,Crown Airways Inc.
19164,CRT,Crested Butte Air Service
19165,CSK,Catskill Airways Inc.
19166,CTA,Century Airlines
19167,CTH,Cothron Aviation
19168,CVA,Catalina-Vegas Airlines
19169,DAN,Danbury Airlines
19170,DEA,Downeast Airlines Inc.
19171,DEC,Decatur Aviation
19172,DHL,DHL Airlines Inc.
19173,DIC,Dickman Aviation Services
19174,DPA,Desert Pacific Airways
19175,DPI,Desert Pacific Airlines Inc.
19176,DST,Desert Airlines
19177,EAI,Executive Aviation Inc.
19178,EAS,Eastern Caribbean Airways
19179,ECI,Eastern Carolina Aviation
19180,EDE,Ede Aire
19181,EFA,Executive Four Winds
19182,EGL,Eagle Commuter Airlines Inc.
19183,EHA,East Hampton Aire Inc.
19184,EIA,East. Indiana Aviation Sale
19185,EKA,Air Pacific Inc.
19186,ERI,Erie Airways Inc.
19187,ERO,Empire Aero Service
